2015-04-05 02:50:21,599 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Spring-Security:Secure:0.0.1-SNAPSHOT @ C:\Git B\Sprojects\Spring_Security\Spring-Security\pom.xml.
2015-04-05 02:50:22,090 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-05 02:50:22,092 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Git B\Sprojects\Spring_Security\Spring-Security\src\main\resources
2015-04-05 02:50:22,094 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-05 02:50:22,094 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Git B\Sprojects\Spring_Security\Spring-Security\src\test\resources
2015-04-05 02:50:22,204 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring-Security/src
2015-04-05 02:50:22,204 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Spring-Security/src/test/java because it overlaps with /Spring-Security/src
2015-04-05 02:50:23,300 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Spring-Security:Secure:0.0.1-SNAPSHOT @ C:\Git B\Sprojects\Spring_Security\Spring-Security\pom.xml.
2015-04-05 02:50:23,366 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-05 02:50:23,367 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Git B\Sprojects\Spring_Security\Spring-Security\src\main\resources
2015-04-05 02:50:23,368 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
